Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
695,678,Rasmus Sandin,20,TOR,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,5,5:00,0,3,0,0,
696,679,Zach Sanford,26,STL,LW,36,8,5,13,-10,23,0.8,4,3,1,3,4,0,1,55,14.5,554,15:23,32,43,13,23,36.1
697,680,Travis Sanheim,24,PHI,D,36,2,9,11,-14,14,0.7,2,0,0,1,9,0,0,52,3.8,781,21:42,45,31,0,0,
698,681,David Savard,30,CBJ,D,39,1,5,6,-19,24,0.2,1,0,0,1,4,0,1,48,2.1,764,19:36,87,92,0,0,
699,682,Luca Sbisa,31,NSH,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,11:58,2,3,0,0,
700,683,Marco Scandella,30,STL,D,31,2,3,5,6,16,1.7,2,0,0,1,2,0,1,35,5.7,614,19:49,38,36,0,0,
701,684,Colton Sceviour,31,PIT,C,28,2,2,4,-3,0,0.0,2,0,0,0,2,0,0,28,7.1,259,9:15,13,36,5,7,41.7
702,685,Mark Scheifele,27,WPG,C,39,15,30,45,-4,12,4.6,12,3,0,3,20,10,0,85,17.6,828,21:13,29,19,239,254,48.5
703,686,Brayden Schenn,29,STL,C,38,12,14,26,-3,23,2.5,9,3,0,0,11,3,0,84,14.3,746,19:38,20,81,245,231,51.5
704,687,Luke Schenn,31,TBL,D,23,0,2,2,-3,23,0.1,0,0,0,0,2,0,0,24,0.0,247,10:44,14,62,0,0,
705,688,Nick Schmaltz,24,ARI,C,39,9,15,24,-1,14,2.5,7,2,0,1,12,3,0,86,10.5,666,17:04,18,11,160,237,40.3
706,689,Nate Schmidt,29,VAN,D,37,3,8,11,-1,2,2.2,3,0,0,1,8,0,0,56,5.4,750,20:16,48,11,0,0,
707,690,Justin Schultz,30,WSH,D,34,2,16,18,12,6,3.2,2,0,0,1,10,6,0,50,4.0,651,19:09,35,17,0,0,
708,691,Jaden Schwartz,28,STL,C,23,2,9,11,3,12,0.7,2,0,0,0,8,1,0,42,4.8,424,18:27,11,23,6,2,75.0
709,692,Andrej Sekera,34,DAL,D,28,2,2,4,7,4,1.7,2,0,0,0,2,0,0,20,10.0,428,15:18,38,21,0,0,
710,693,Zachary Senyshyn,23,BOS,RW,7,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,9,0.0,68,9:47,0,11,0,0,
711,694,Mikhail Sergachev,22,TBL,D,38,2,20,22,6,18,3.6,2,0,0,0,14,6,0,78,2.6,846,22:15,55,46,0,0,
712,695,Damon Severson,26,NJD,D,36,2,10,12,-7,18,1.5,2,0,0,0,7,2,1,61,3.3,817,22:42,26,44,0,0,
713,696,Michael Sgarbossa,28,WSH,C,5,0,2,2,2,0,0.2,0,0,0,0,2,0,0,4,0.0,49,9:48,2,1,10,19,34.5
714,697,Yegor Sharangovich,22,NJD,C,34,8,5,13,0,2,1.2,8,0,0,2,5,0,0,71,11.3,546,16:04,14,13,21,49,30.0
715,698,Kevin Shattenkirk,32,ANA,D,39,2,11,13,-7,20,2.1,1,1,0,0,8,3,0,66,3.0,839,21:31,45,39,0,0,
716,699,Andrew Shaw,29,CHI,C,14,2,2,4,-5,6,0.1,0,2,0,0,0,2,0,25,8.0,212,15:07,4,20,30,26,53.6
717,700,Riley Sheahan,29,BUF,C,36,3,5,8,-8,6,0.2,3,0,0,0,5,0,0,24,12.5,481,13:21,12,16,157,148,51.5
718,701,Conor Sheary,28,WSH,LW,35,8,6,14,1,12,1.5,8,0,0,0,6,0,0,42,19.0,458,13:05,12,20,2,4,33.3
719,702,Kiefer Sherwood,25,COL,RW,7,0,2,2,1,0,0.1,0,0,0,0,2,0,0,5,0.0,60,8:35,1,12,1,1,50.0
720,703,Devin Shore,26,EDM,C,25,3,4,7,-3,6,0.5,2,0,1,0,4,0,0,15,20.0,254,10:10,14,39,38,40,48.7
721,704,Drew Shore,30,CAR,C,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,9,8:35,0,1,0,2,0.0
722,705,Jonas Siegenthaler,23,WSH,D,7,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,0.0,94,13:23,10,6,0,0,
723,706,Jakob Silfverberg,30,ANA,LW,39,7,7,14,-16,16,0.6,5,1,1,0,6,1,0,75,9.3,659,16:53,21,16,6,12,33.3
724,707,Radim Simek,28,SJS,D,31,2,3,5,-1,6,1.0,2,0,0,0,3,0,0,22,9.1,453,14:36,42,63,0,0,
725,708,Wayne Simmonds,32,TOR,RW,21,6,1,7,-3,28,0.8,3,3,0,0,1,0,0,32,18.8,242,11:33,5,32,4,3,57.1
726,709,Dominik Simon,26,CGY,C,9,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0.0,88,9:44,4,10,3,7,30.0
727,710,Colton Sissons,27,NSH,C,39,6,1,7,-2,14,0.5,5,0,1,0,1,0,0,42,14.3,550,14:06,23,51,222,197,53.0
728,711,Jeff Skinner,28,BUF,LW,34,3,2,5,-10,12,-0.2,3,0,0,0,2,0,0,68,4.4,481,14:09,9,13,2,5,28.6
729,712,Brady Skjei,26,CAR,D,37,1,5,6,4,18,1.9,1,0,0,1,4,0,1,67,1.5,780,21:04,48,47,0,0,
730,713,Jaccob Slavin,26,CAR,D,34,1,9,10,9,2,2.7,1,0,0,0,7,1,1,61,1.6,790,23:14,59,26,0,0,
731,714,Brendan Smith,31,NYR,D,30,2,4,6,3,30,1.5,2,0,0,0,4,0,0,34,5.9,473,15:45,25,56,0,0,
732,715,C.J. Smith,26,BUF,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,7:57,0,3,0,0,
733,716,Cole Smith,25,NSH,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,6,5:57,0,0,0,0,
734,717,Craig Smith,31,BOS,C,34,6,10,16,7,12,1.9,6,0,0,3,9,1,0,82,7.3,507,14:54,7,44,8,10,44.4
735,718,Gemel Smith,26,TBL,C,4,0,3,3,3,9,0.4,0,0,0,0,3,0,0,0,,39,9:42,0,4,15,20,42.9
736,719,Givani Smith,22,DET,RW,12,1,3,4,0,21,0.3,1,0,0,1,3,0,0,15,6.7,124,10:20,3,19,0,0,
737,720,Reilly Smith,29,VEG,RW,37,7,6,13,6,8,1.1,4,2,1,1,6,0,0,83,8.4,668,18:03,13,34,0,4,0.0
738,721,Ty Smith,20,NJD,D,36,2,17,19,1,18,2.8,1,1,0,0,14,3,0,49,4.1,709,19:41,28,28,0,0,
739,722,Carl Soderberg,35,CHI,C,33,6,8,14,-6,14,1.1,2,4,0,1,6,1,1,38,15.8,498,15:06,27,46,191,183,51.1
740,723,Victor Soderstrom,19,ARI,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0.0,27,13:41,0,2,0,0,
741,724,Marcus Sorensen,28,SJS,RW,24,1,3,4,-3,6,-0.1,1,0,0,0,3,0,0,26,3.8,290,12:06,10,14,3,4,42.9
742,725,Carson Soucy,26,MIN,D,31,1,10,11,14,41,2.8,1,0,0,1,10,0,0,26,3.8,475,15:19,35,37,0,0,
743,726,Jason Spezza,37,TOR,C,38,9,12,21,-1,6,2.3,8,1,0,2,8,4,0,56,16.1,407,10:42,7,21,202,153,56.9
744,727,Daniel Sprong,23,WSH,RW,27,7,5,12,7,4,1.7,7,0,0,0,5,0,0,34,20.6,294,10:52,1,11,4,4,50.0
745,728,Jared Spurgeon,31,MIN,D,36,4,8,12,-2,4,2.3,2,2,0,0,6,2,0,68,5.9,794,22:03,63,38,0,0,
746,729,Eric Staal,36,TOT,C,33,4,7,11,-20,10,0.1,3,1,0,1,5,2,0,61,6.6,515,15:36,8,14,183,187,49.5
747,729,Eric Staal,36,BUF,C,32,3,7,10,-20,8,-0.1,2,1,0,0,5,2,0,59,5.1,498,15:34,8,14,169,183,48.0
748,729,Eric Staal,36,MTL,C,1,1,0,1,0,2,0.2,1,0,0,1,0,0,0,2,50.0,17,16:56,0,0,14,4,77.8
749,730,Jordan Staal,32,CAR,C,35,10,16,26,3,22,2.8,5,5,0,2,9,6,1,68,14.7,643,18:23,21,82,439,294,59.9
750,731,Marc Staal,34,DET,D,40,3,4,7,-5,14,1.6,3,0,0,0,4,0,0,37,8.1,718,17:57,33,46,0,0,
751,732,Steven Stamkos,30,TBL,C,36,16,17,33,6,16,4.2,7,9,0,1,11,5,1,86,18.6,661,18:22,9,37,221,167,57.0
752,733,Logan Stanley,22,WPG,D,27,1,2,3,11,15,1.6,1,0,0,0,2,0,0,44,2.3,341,12:39,22,31,0,0,
753,734,Paul Stastny,35,WPG,C,39,11,12,23,-1,16,2.3,9,2,0,3,9,3,0,65,16.9,699,17:55,14,23,240,210,53.3
754,735,Troy Stecher,26,DET,D,29,1,6,7,-9,8,0.8,1,0,0,0,6,0,0,35,2.9,499,17:12,27,20,0,0,
755,736,Sam Steel,22,ANA,C,31,4,6,10,-2,6,0.7,4,0,0,0,6,0,0,30,13.3,466,15:01,11,30,183,151,54.8
756,737,Oskar Steen,22,BOS,C,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,5,0.0,23,11:37,0,5,0,0,
757,738,Kevin Stenlund,24,CBJ,C,26,5,5,10,-2,6,1.0,5,0,0,1,4,1,0,38,13.2,329,12:40,9,16,81,83,49.4
758,739,Derek Stepan,30,OTT,C,20,1,5,6,-6,8,0.0,1,0,0,0,3,2,0,44,2.3,301,15:04,16,25,130,130,50.0
759,740,Mitchell Stephens,23,TBL,C,4,0,1,1,-2,0,0.0,0,0,0,0,1,0,0,2,0.0,34,8:32,1,4,17,9,65.4
760,741,Chandler Stephenson,26,VEG,C,32,7,13,20,10,21,2.2,5,2,0,2,10,3,0,41,17.1,554,17:18,23,31,215,222,49.2
761,742,Riley Stillman,22,FLA,D,7,0,0,0,3,14,0.3,0,0,0,0,0,0,0,7,0.0,76,10:50,7,13,0,0,
762,743,Mark Stone,28,VEG,RW,36,12,29,41,18,20,5.0,10,2,0,7,20,9,0,59,20.3,669,18:35,19,15,8,13,38.1
763,744,Michael Stone,30,CGY,D,5,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,10,10.0,84,16:43,9,4,0,0,
764,745,Anton Stralman,34,FLA,D,32,3,6,9,-3,6,1.5,3,0,0,0,6,0,0,33,9.1,611,19:05,26,33,0,0,
765,746,Austin Strand,23,LAK,D,12,0,1,1,3,8,0.6,0,0,0,0,1,0,0,11,0.0,172,14:21,15,14,0,0,
766,747,Dylan Strome,23,CHI,C,27,7,4,11,-7,6,0.9,3,4,0,0,1,3,0,47,14.9,435,16:07,16,3,148,165,47.3
767,748,Ryan Strome,27,NYR,C,37,11,23,34,8,14,3.9,10,1,0,1,10,12,1,90,12.2,694,18:46,10,17,230,282,44.9
768,749,Jack Studnicka,21,BOS,C,19,1,2,3,-3,0,0.0,1,0,0,0,2,0,0,25,4.0,239,12:33,8,7,43,50,46.2
769,750,Nico Sturm,25,MIN,C,33,4,3,7,3,15,0.7,4,0,0,1,3,0,0,40,10.0,343,10:23,15,26,20,20,50.0
770,751,Tim Stützle,19,OTT,LW,36,6,14,20,-16,10,1.1,4,2,0,0,10,4,0,78,7.7,568,15:46,13,33,5,9,35.7
771,752,P.K. Subban,31,NJD,D,36,3,12,15,-13,26,1.5,1,2,0,0,9,3,0,81,3.7,811,22:31,35,34,0,0,
772,753,Oskar Sundqvist,26,STL,C,28,4,5,9,-6,14,0.4,3,1,0,0,3,2,0,32,12.5,424,15:09,25,50,115,124,48.1
773,754,Antti Suomela,26,SJS,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,44,11:07,4,6,14,11,56.0
774,755,Maksim Sushko,21,PHI,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,19,9:34,0,2,0,0,
775,756,Pius Suter,24,CHI,F,39,11,7,18,1,8,2.1,10,1,0,3,6,1,0,78,14.1,638,16:21,21,19,194,260,42.7
776,757,Ryan Suter,36,MIN,D,37,1,13,14,0,8,2.3,0,1,0,0,10,3,0,56,1.8,835,22:34,46,23,0,0,
777,758,Brandon Sutter,31,VAN,C,35,6,2,8,-7,2,0.4,5,0,1,0,2,0,0,56,10.7,528,15:05,24,14,218,175,55.5
778,759,Nick Suzuki,21,MTL,C,35,7,16,23,0,14,1.9,4,3,0,0,10,5,1,65,10.8,648,18:30,23,49,238,298,44.4
779,760,Andrei Svechnikov,20,CAR,RW,37,10,16,26,1,28,2.7,7,3,0,0,8,8,0,103,9.7,653,17:39,8,71,1,3,25.0
780,761,Evgeny Svechnikov,24,DET,LW,10,3,2,5,-2,4,0.6,2,1,0,1,1,1,0,9,33.3,108,10:47,3,8,0,2,0.0
781,762,Brandon Tanev,29,PIT,LW,32,7,9,16,12,22,2.0,6,0,1,0,8,0,1,43,16.3,462,14:26,33,139,3,8,27.3
782,763,Chris Tanev,31,CGY,D,40,2,4,6,2,6,2.2,2,0,0,0,4,0,0,46,4.3,865,21:38,75,24,0,0,
783,764,Vladimir Tarasenko,29,STL,RW,14,2,6,8,-8,0,0.3,1,1,0,0,4,2,0,44,4.5,254,18:10,8,19,0,0,
784,765,Tomas Tatar,30,MTL,LW,34,8,16,24,10,6,2.8,6,2,0,1,11,5,0,60,13.3,504,14:49,16,44,11,12,47.8
785,766,John Tavares,30,TOR,C,39,12,20,32,13,10,3.7,7,5,0,2,15,5,0,110,10.9,704,18:03,20,35,339,253,57.3
786,767,Matt Tennyson,30,NJD,D,10,0,1,1,6,2,0.7,0,0,0,0,1,0,0,10,0.0,137,13:43,5,17,0,0,
787,768,Teuvo Teravainen,26,CAR,F,13,2,7,9,4,2,0.9,2,0,0,1,5,2,0,31,6.5,210,16:09,4,5,7,5,58.3
788,769,Troy Terry,23,ANA,C,31,7,6,13,1,8,1.5,7,0,0,0,6,0,0,45,15.6,440,14:11,8,4,2,2,50.0
789,770,Alexandre Texier,21,CBJ,C,36,4,8,12,-5,14,0.6,4,0,0,0,8,0,0,52,7.7,543,15:05,12,41,65,116,35.9
790,771,Shea Theodore,25,VEG,D,34,6,23,29,17,12,5.6,6,0,0,0,15,8,0,97,6.2,772,22:42,25,11,0,0,
791,772,Ben Thomas,24,TBL,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,14:23,0,0,0,0,
792,773,Robert Thomas,21,STL,C,19,1,5,6,-1,6,0.2,1,0,0,0,5,0,0,11,9.1,253,13:20,8,2,67,91,42.4
793,774,Nate Thompson,36,WPG,C,27,2,2,4,4,2,0.4,2,0,0,1,2,0,0,12,16.7,238,8:48,8,33,80,81,49.7
794,775,Tage Thompson,23,BUF,C,19,2,2,4,-4,8,0.2,2,0,0,0,2,0,0,39,5.1,251,13:14,7,17,1,3,25.0
795,776,Joe Thornton,41,TOR,C,27,3,9,12,1,4,0.9,3,0,0,0,5,4,0,25,12.0,386,14:17,7,6,19,20,48.7
796,777,Chris Tierney,26,OTT,C,39,5,9,14,-11,6,0.6,5,0,0,3,8,0,1,39,12.8,599,15:21,24,14,222,255,46.5
797,778,Dmytro Timashov,24,NYI,LW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,7,7:13,0,2,0,0,
798,779,Conor Timmins,22,COL,D,17,0,0,0,-5,6,-0.3,0,0,0,0,0,0,0,15,0.0,222,13:05,12,10,0,0,
799,780,Jarred Tinordi,28,TOT,D,17,0,0,0,-5,9,0.0,0,0,0,0,0,0,0,19,0.0,284,16:43,22,43,0,0,
800,780,Jarred Tinordi,28,BOS,D,10,0,0,0,-4,5,-0.1,0,0,0,0,0,0,0,11,0.0,168,16:49,11,31,0,0,
801,780,Jarred Tinordi,28,NSH,D,7,0,0,0,-1,4,0.1,0,0,0,0,0,0,0,8,0.0,116,16:34,11,12,0,0,
802,781,Owen Tippett,21,FLA,RW,30,5,7,12,-4,6,1.0,3,2,0,1,6,1,0,54,9.3,339,11:18,4,38,0,1,0.0
803,782,Brady Tkachuk,21,OTT,LW,39,12,11,23,-14,47,1.9,8,4,0,2,8,3,0,155,7.7,718,18:24,15,176,81,99,45.0
804,783,Matthew Tkachuk,23,CGY,LW,40,10,18,28,1,41,2.9,7,3,0,0,9,9,0,111,9.0,731,18:16,5,115,2,4,33.3
805,784,Devon Toews,26,COL,D,35,6,16,22,23,10,5.3,4,2,0,1,12,4,0,81,7.4,865,24:42,62,25,0,0,
806,785,Tyler Toffoli,28,MTL,C,32,19,10,29,9,10,4.4,14,3,2,3,7,2,1,102,18.6,562,17:34,8,42,16,23,41.0
807,786,Eeli Tolvanen,21,NSH,RW,30,10,9,19,-4,4,2.3,4,6,0,4,4,5,0,47,21.3,436,14:32,14,55,1,3,25.0
808,787,Yakov Trenin,24,NSH,C,28,2,4,6,3,10,0.5,2,0,0,0,4,0,0,34,5.9,306,10:55,16,56,4,3,57.1
809,788,Vincent Trocheck,27,CAR,C,28,14,15,29,4,8,3.7,8,6,0,2,8,7,0,81,17.3,521,18:37,20,53,266,209,56.0
810,789,Jacob Trouba,26,NYR,D,29,1,7,8,5,18,1.9,1,0,0,0,7,0,0,52,1.9,639,22:01,58,86,0,0,
811,790,Alexander True,23,SJS,F,2,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2,0.0,13,6:32,1,2,1,5,16.7
812,791,Alex Tuch,24,VEG,RW,36,13,11,24,14,18,3.3,11,2,0,1,9,2,0,79,16.5,595,16:31,22,24,7,15,31.8
813,792,Kyle Turris,31,EDM,C,23,2,3,5,-11,10,-0.2,2,0,0,0,3,0,0,22,9.1,284,12:21,7,14,92,96,48.9
814,793,Carsen Twarynski,23,PHI,F,4,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,2,0.0,37,9:20,1,7,0,0,
815,794,Urho Vaakanainen,22,BOS,D,8,0,2,2,-2,2,0.3,0,0,0,0,2,0,0,13,0.0,149,18:38,17,3,0,0,
816,795,Juuso Valimaki,22,CGY,D,36,1,6,7,-6,16,1.1,1,0,0,0,6,0,0,50,2.0,558,15:30,43,22,0,0,
817,796,James van Riemsdyk,31,PHI,LW,37,13,18,31,3,14,3.4,6,7,0,0,17,1,0,91,14.3,624,16:52,12,34,4,4,50.0
818,797,Trevor van Riemsdyk,29,WSH,D,9,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,8,12.5,136,15:07,13,4,0,0,
819,798,Sami Vatanen,29,NJD,D,26,2,3,5,1,14,1.2,2,0,0,0,3,0,0,37,5.4,444,17:05,33,20,0,0,
820,799,Frank Vatrano,26,FLA,LW,39,13,6,19,6,8,2.7,12,1,0,4,4,2,0,114,11.4,546,14:00,18,40,2,12,14.3
821,800,Carter Verhaeghe,25,FLA,C,39,17,16,33,23,27,5.0,15,1,1,3,15,1,0,94,18.1,686,17:35,12,29,22,24,47.8
822,801,Kristian Vesalainen,21,WPG,W,8,0,1,1,1,0,0.0,0,0,0,0,1,0,0,3,0.0,61,7:35,3,5,0,0,
823,802,Jimmy Vesey,27,TOT,LW,34,5,2,7,-5,4,0.3,5,0,0,1,2,0,0,41,12.2,410,12:04,14,27,0,5,0.0
824,802,Jimmy Vesey,27,TOR,LW,30,5,2,7,-4,4,0.5,5,0,0,1,2,0,0,32,15.6,333,11:07,10,23,0,5,0.0
825,802,Jimmy Vesey,27,VAN,LW,4,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0.0,77,19:11,4,4,0,0,
826,803,Jeffrey Viel,24,SJS,F,4,0,0,0,0,5,-0.1,0,0,0,0,0,0,0,3,0.0,33,8:11,0,10,0,0,
827,804,Gabriel Vilardi,21,LAK,C,37,6,9,15,-6,2,1.3,4,2,0,2,8,1,0,40,15.0,544,14:43,10,10,204,242,45.7
828,805,Jake Virtanen,24,VAN,RW,32,4,0,4,-3,28,0.1,3,1,0,1,0,0,0,47,8.5,397,12:25,10,68,8,2,80.0
829,806,Marc-Edouard Vlasic,33,SJS,D,37,1,4,5,-4,6,0.9,1,0,0,0,4,0,0,28,3.6,659,17:48,50,22,0,0,
830,807,Alexander Volkov,23,TOT,RW,21,4,2,6,1,4,0.7,4,0,0,0,1,1,0,20,20.0,207,9:53,16,27,0,1,0.0
831,807,Alexander Volkov,23,TBL,RW,19,3,2,5,2,4,0.6,3,0,0,0,1,1,0,18,16.7,181,9:32,15,20,0,1,0.0
832,807,Alexander Volkov,23,ANA,RW,2,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,2,50.0,26,13:12,1,7,0,0,
833,808,Jakub Voracek,31,PHI,RW,34,5,24,29,-5,12,2.2,5,0,0,1,17,7,0,64,7.8,563,16:33,15,12,4,9,30.8
834,809,Jakub Vrana,24,WSH,LW,35,10,13,23,6,8,2.8,10,0,0,3,10,3,0,65,15.4,508,14:31,4,26,1,3,25.0
835,810,Austin Wagner,23,LAK,LW,29,3,4,7,-5,11,0.5,3,0,0,1,4,0,0,51,5.9,303,10:28,8,73,0,2,0.0
836,811,Chris Wagner,29,BOS,C,25,2,2,4,-8,19,-0.1,1,0,1,0,2,0,0,29,6.9,290,11:36,11,40,34,32,51.5
837,812,Oliver Wahlstrom,20,NYI,RW,31,9,7,16,4,17,2.2,7,2,0,1,2,5,0,64,14.1,371,11:58,11,36,4,6,40.0
838,813,Nathan Walker,26,STL,C,7,1,0,1,-3,2,-0.1,1,0,0,0,0,0,0,10,10.0,97,13:50,6,12,2,3,40.0
839,814,Sean Walker,26,LAK,D,28,1,6,7,-12,10,0.6,1,0,0,0,5,1,0,48,2.1,496,17:43,46,22,0,0,
840,815,Lucas Wallmark,25,CHI,C,16,0,3,3,-2,6,-0.1,0,0,0,0,0,2,1,10,0.0,186,11:36,5,20,56,87,39.2
841,816,Jake Walman,24,STL,D,10,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,15,0.0,127,12:41,3,13,0,0,
842,817,Austin Watson,29,OTT,LW,34,3,7,10,-7,40,0.4,3,0,0,0,6,0,1,41,7.3,408,12:00,49,100,6,17,26.1
843,818,Shea Weber,35,MTL,D,35,5,12,17,6,27,2.9,2,3,0,1,6,6,0,78,6.4,800,22:51,49,51,0,0,
844,819,Yannick Weber,32,PIT,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,23,11:19,0,4,0,0,
845,820,MacKenzie Weegar,27,FLA,D,39,3,20,23,20,39,5.0,3,0,0,0,19,0,1,69,4.3,865,22:11,51,82,0,0,
846,821,Andy Welinski,27,ANA,D,7,0,0,0,3,0,0.4,0,0,0,0,0,0,0,9,0.0,95,13:36,4,4,0,0,
847,822,Alexander Wennberg,26,FLA,C,39,11,8,19,4,8,2.1,9,2,0,2,5,3,0,51,21.6,702,18:00,25,15,280,267,51.2
848,823,Zach Werenski,23,CBJ,D,33,6,12,18,-8,13,2.9,6,0,0,1,8,4,0,73,8.2,808,24:30,39,21,0,0,
849,824,Blake Wheeler,34,WPG,RW,39,10,22,32,-15,36,2.5,7,3,0,2,12,10,0,89,11.2,712,18:16,20,39,3,3,50.0
850,825,Colin White,24,OTT,C,32,8,6,14,-8,12,1.2,6,2,0,0,4,2,0,54,14.8,470,14:41,14,41,114,154,42.5
851,826,Zach Whitecloud,24,VEG,D,34,2,6,8,6,12,2.0,2,0,0,1,6,0,0,37,5.4,630,18:31,49,51,0,0,
852,827,Tom Wilson,26,WSH,RW,29,9,14,23,1,43,2.5,6,2,1,3,12,2,0,45,20.0,505,17:25,14,77,8,8,50.0
853,828,Christian Wolanin,25,OTT,D,15,0,3,3,-7,6,-0.1,0,0,0,0,3,0,0,14,0.0,195,13:00,3,3,0,0,
854,829,Miles Wood,25,NJD,LW,36,11,4,15,-5,21,1.6,8,3,0,2,4,0,0,87,12.6,526,14:37,13,24,3,4,42.9
855,830,Kailer Yamamoto,22,EDM,RW,37,7,10,17,9,20,1.8,7,0,0,0,9,0,1,52,13.5,610,16:29,35,45,0,1,0.0
856,831,Keith Yandle,34,FLA,D,39,3,18,21,-7,30,2.5,2,1,0,1,4,14,0,73,4.1,688,17:38,24,13,0,0,
857,832,Pavel Zacha,23,NJD,C,35,7,13,20,-13,6,1.2,6,1,0,2,9,4,0,62,11.3,616,17:35,8,26,271,260,51.0
858,833,Filip Zadina,21,DET,RW,33,4,10,14,-3,0,1.0,2,2,0,0,7,3,0,69,5.8,538,16:18,16,13,4,6,40.0
859,834,Nikita Zadorov,25,CHI,D,39,1,6,7,2,29,1.7,1,0,0,0,6,0,0,43,2.3,736,18:52,50,129,0,0,
860,835,Nikita Zaitsev,29,OTT,D,39,1,11,12,-13,18,1.1,1,0,0,0,11,0,0,56,1.8,873,22:23,78,78,0,0,
861,836,Travis Zajac,35,NJD,C,32,7,10,17,3,6,1.7,7,0,0,2,10,0,0,34,20.6,542,16:56,15,39,241,244,49.7
862,837,Jakub Zboril,23,BOS,D,33,0,7,7,-2,10,1.5,0,0,0,0,6,1,0,27,0.0,595,18:02,25,53,0,0,
863,838,Trevor Zegras,19,ANA,C,17,1,6,7,2,8,0.6,1,0,0,0,6,0,0,33,3.0,249,14:38,3,5,2,9,18.2
864,839,Mika Zibanejad,27,NYR,C,37,12,16,28,4,12,3.1,4,6,2,3,13,2,1,107,11.2,755,20:24,31,52,323,377,46.1
865,840,Radim Zohorna,24,PIT,F,2,1,0,1,1,0,0.2,1,0,0,1,0,0,0,2,50.0,16,7:58,0,4,1,2,33.3
866,841,Artem Zub,25,OTT,D,30,2,6,8,0,12,1.5,2,0,0,0,6,0,0,23,8.7,522,17:25,33,55,0,0,
867,842,Mats Zuccarello,33,MIN,LW,24,6,16,22,6,4,2.5,6,0,0,0,13,3,0,44,13.6,395,16:28,12,5,5,11,31.3
868,843,Jason Zucker,29,PIT,LW,20,5,3,8,-4,8,0.6,5,0,0,0,3,0,0,37,13.5,326,16:19,10,49,2,5,28.6
